Sr. No.,State,Branch Name,Client id,Center Name,Loan Id,Loan Amount,Net Deduct,Interest Collection,Pre Pay Amount,Net Amount,Date,Transaction date
4392,Uttar Pradesh,Sarsawa,4575543,doulatpur A,3604651,50000,3797,0,0,46203,07-07-2024,08-07-2024
4393,Uttar Pradesh,Sarsawa,4580914,doulatpur A,3604652,50000,2341,0,0,47659,07-07-2024,08-07-2024
4394,Uttar Pradesh,Sasni,4558904,nagla umrav,3592382,50000,3797,0,0,46203,07-07-2024,07-07-2024
4395,Uttar Pradesh,Sasni,4559161,nagla umrav,3592384,50000,3797,0,0,46203,07-07-2024,08-07-2024
4396,Uttar Pradesh,Sasni,4567471,nagla umrav,3603041,50000,3797,0,0,46203,07-07-2024,08-07-2024
4397,Madhya Pradesh,Satna,2625201,Tikuri school ka pass,3605479,85000,5785,10,13376,65829,07-07-2024,07-07-2024
4398,Madhya Pradesh,Satna,2625415,Tikuri school ka pass,3605480,85000,5785,16,22954,56245,07-07-2024,07-07-2024
4399,Rajasthan,Shahpura 2,2076665,sardar pura bhil ka khada,3605552,85000,5785,0,4476,74739,07-07-2024,08-07-2024
4400,Rajasthan,Shahpura 2,2115728,Nya  kheda ABC,3596292,85000,5785,813,54307,24095,07-07-2024,07-07-2024
4401,Rajasthan,Shahpura 2,3359666,mundeti AA,3605755,85000,5785,457,35628,43130,07-07-2024,08-07-2024
4402,Rajasthan,Shakkargarh,2645409,sarthala D,3604636,85000,5785,370,22581,56264,07-07-2024,07-07-2024
4403,Gujarat,Shamalaji,4588672,Damor Fali Asal New center,3603793,60000,4316,0,0,55684,07-07-2024,07-07-2024
4404,Gujarat,Shamalaji,4589083,Damor Fali Asal New center,3603796,60000,4316,0,0,55684,07-07-2024,08-07-2024
4405,Gujarat,Shamalaji,4590204,Damor Fali Asal New center,3603791,60000,4316,0,0,55684,07-07-2024,07-07-2024
4406,Madhya Pradesh,SHAMGARH,2228838,Sathkheda AB,3604570,100000,6594,6,7730,85670,07-07-2024,08-07-2024
4407,Gujarat,Shant Road,4593832,Rebari Patel faliyu HV,3605470,50000,3797,0,0,46203,07-07-2024,07-07-2024
4408,Gujarat,Shehera,3126835,Gugaliya Faliyu BORIAVI,3605532,85000,5785,569,30740,47906,07-07-2024,08-07-2024
4409,Gujarat,Shehera,4591742,Vantavachoda Tekra Faliyu MK,3603797,60000,4316,0,0,55684,07-07-2024,08-07-2024
4410,Gujarat,Shehera,4591838,kundla patel faliyu kundla,3603838,50000,3797,0,0,46203,07-07-2024,08-07-2024
4411,Gujarat,Shehera,4594606,Matriya Vanjara Faliya,3605127,60000,4316,0,0,55684,07-07-2024,08-07-2024
4412,Rajasthan,Singhana,1014284,DHANI BADHAN2,3603246,100000,6594,33,23510,69863,07-07-2024,07-07-2024
4413,Rajasthan,Singhana,3282185,ISHAKPURA ABCD,3605548,85000,5785,0,33687,45528,07-07-2024,07-07-2024
4414,Haryana,SIRSA,1311660,jhopra road PN,3605713,100000,6594,291,21473,71642,07-07-2024,08-07-2024
4415,Haryana,SIRSA,3032977,PhoolkanAB,3605107,85000,5785,608,31626,46981,07-07-2024,07-07-2024
4416,Uttar Pradesh,Siyana,3885917,nangla katak,3604914,50000,3797,0,0,46203,07-07-2024,08-07-2024
4417,Uttar Pradesh,Siyana,3889732,nangla katak,3604916,50000,2341,0,0,47659,07-07-2024,08-07-2024
4418,Uttar Pradesh,Siyana,4581031,MULLANI V,3604451,50000,3797,0,0,46203,07-07-2024,08-07-2024
4419,Uttar Pradesh,Siyana,4591437,MULLANI V,3604452,50000,3797,0,0,46203,07-07-2024,07-07-2024
4420,Gujarat,Sukhsar,2460676,Usra faliyu kanthagar bc,3605741,85000,5785,17,23546,55652,07-07-2024,08-07-2024
4421,Gujarat,Sukhsar,2991680,Thekri Faliyu Zalod rod SP,3596076,85000,5785,399,27967,50849,07-07-2024,08-07-2024
4422,Gujarat,Sukhsar,3126823,mandir faliyu nindka AA,3604318,85000,5785,23,31864,47328,07-07-2024,08-07-2024
4423,Gujarat,Sukhsar,3291282,BHEDI FALIYU VELPURA SS,3604623,85000,5785,24,33633,45558,07-07-2024,08-07-2024
4424,Gujarat,Sukhsar,3457151,Bariya Faliyu Motidhadheli NN,3603867,60000,4316,0,0,55684,07-07-2024,07-07-2024
4425,Gujarat,Sukhsar,4483862,BHEDI FALIYU VELPURA SS,3605320,60000,4316,0,0,55684,07-07-2024,08-07-2024
4426,Gujarat,Sukhsar,4564100,Moti Vasai Faliyu Kanthagar,3597292,60000,4316,0,0,55684,07-07-2024,07-07-2024
4427,Gujarat,Sukhsar,4590372,Hingla batiya Faliyu A,3603067,60000,4316,0,0,55684,07-07-2024,07-07-2024
4428,Rajasthan,Suratgarh,1798587,PILIBANGA dhank dharmsala new aaa,3604395,60000,4316,0,0,55684,07-07-2024,07-07-2024
4429,Rajasthan,Suratgarh,4538925,Jakharanwali RB,3604397,60000,4316,0,0,55684,07-07-2024,08-07-2024
4430,Madhya Pradesh,Suwasara,2767110,suwasara gaovB,3594007,60000,4316,0,0,55684,07-07-2024,07-07-2024
4431,Rajasthan,Takhatgarh,4578236,Badgavda Village A,3599920,40000,3278,0,0,36722,07-07-2024,07-07-2024
4432,Rajasthan,Takhatgarh,4591077,Bhasunda village,3603712,50000,3797,0,0,46203,07-07-2024,07-07-2024
4433,Odisha,Talcher,4594286,KULEI T,3604593,50000,3797,0,0,46203,07-07-2024,07-07-2024
4434,Odisha,Talcher,4594579,Biharipur G,3605245,40000,3278,0,0,36722,07-07-2024,07-07-2024
4435,Odisha,Talcher,4594715,Biharipur G,3605246,40000,3278,0,0,36722,07-07-2024,07-07-2024
4436,Rajasthan,Taranagar,1525992,RAMBAS MM,3604676,85000,5785,19,27012,52184,07-07-2024,08-07-2024
4437,Rajasthan,Taranagar,1542348,RAMBAS MM,3604674,85000,5785,23,32390,46802,07-07-2024,08-07-2024
4438,Rajasthan,Taranagar,3278548,loodniya bada A,3602081,60000,4316,0,0,55684,07-07-2024,07-07-2024
4439,Rajasthan,Taranagar,4581673,kisanpura rajgarh,3603343,60000,4316,0,0,55684,07-07-2024,07-07-2024
4440,Rajasthan,Taranagar,4587257,SATYUN AB,3602076,60000,4316,0,0,55684,07-07-2024,07-07-2024
4441,Rajasthan,Taranagar,4587337,LALASAR TT,3601747,50000,3797,0,0,46203,07-07-2024,07-07-2024
4442,Madhya Pradesh,THANDLA,2234386,Borkunda  ABC,3604285,100000,6594,6,8156,85244,07-07-2024,07-07-2024
4443,Madhya Pradesh,THANDLA,2234593,Borkunda  ABC,3604286,100000,6594,9,12232,81165,07-07-2024,08-07-2024
4444,Madhya Pradesh,THANDLA,2240700,Borkunda  ABC,3604287,100000,6594,9,12232,81165,07-07-2024,08-07-2024
4445,Madhya Pradesh,THANDLA,2240741,Borkunda  ABC,3604288,100000,6594,9,12104,81293,07-07-2024,07-07-2024
4446,Madhya Pradesh,THANDLA,4563270,Men rod kakanwani,3593066,60000,4316,0,0,55684,07-07-2024,07-07-2024
4447,Madhya Pradesh,THANDLA,4592138,Men rod kakanwani,3604463,60000,4316,0,0,55684,07-07-2024,07-07-2024
4448,Madhya Pradesh,THANDLA,4592234,Devigarh lambi saded CC,3603807,60000,4316,0,0,55684,07-07-2024,07-07-2024
4449,Madhya Pradesh,THANDLA,4592366,Devigarh lambi saded CC,3603808,60000,4316,0,0,55684,07-07-2024,07-07-2024
4450,Madhya Pradesh,THANDLA,4592459,Devigarh lambi saded CC,3603809,60000,4316,0,0,55684,07-07-2024,07-07-2024
4451,Gujarat,Thasra,1420523,Lingada AA,3605625,100000,6594,589,30589,62228,07-07-2024,08-07-2024
4452,Gujarat,Thasra,1608113,ROHIT FALIYU RANIYA,3605487,60000,4316,0,0,55684,07-07-2024,08-07-2024
4453,Gujarat,Thasra,4569462,Baleviya AA,3595297,60000,4316,0,0,55684,07-07-2024,08-07-2024
4454,Gujarat,Thasra,4585340,Hathipura Bhdrasa,3603609,60000,4316,0,0,55684,07-07-2024,08-07-2024
4455,Gujarat,Thasra,4589658,Baleviya AA,3602967,60000,4316,0,0,55684,07-07-2024,08-07-2024
4456,Gujarat,Thasra,4589781,Baleviya AA,3603403,60000,4316,0,0,55684,07-07-2024,08-07-2024
4457,Gujarat,Thasra,4592647,Hathipura Bhdrasa,3605503,60000,4316,0,0,55684,07-07-2024,07-07-2024
4458,Rajasthan,Udaipurwati,2320510,burli ms,3604512,100000,6594,21,14850,78535,07-07-2024,07-07-2024
4459,Rajasthan,Udaipurwati,3235886,kotrinew,3605737,85000,5785,0,22817,56398,07-07-2024,08-07-2024
4460,Madhya Pradesh,Ujjain,2346890,Ganesh nagar Ujjain,3604947,100000,6594,9,12117,81280,07-07-2024,07-07-2024
4461,Madhya Pradesh,Ujjain,3021181,Mahudipura,3597373,65000,4707,412,27560,32321,07-07-2024,07-07-2024
4462,Madhya Pradesh,Ujjain,3318801,Talod Ujjain DS,3604731,85000,5785,0,33359,45856,07-07-2024,07-07-2024
4463,Madhya Pradesh,Ujjain,4590609,Gram Tumdawada VA,3604060,40000,3278,0,0,36722,07-07-2024,08-07-2024
4464,Gujarat,Waghodia,2660490,Dharmpura haringar,3604806,65000,4707,605,31458,28230,07-07-2024,07-07-2024
4465,Gujarat,Zalod,2891253,kharshana damor faliyu DDD,3604741,85000,5785,357,25071,53787,07-07-2024,08-07-2024
4466,Gujarat,Zalod,2920315,Nishal  faliyu padimahudi,3601411,85000,5785,415,29098,49702,07-07-2024,07-07-2024
4467,Gujarat,Zalod,3115361,malivad faliyu kakra dungra dk,3605610,85000,5785,493,32966,45756,07-07-2024,07-07-2024
4468,Gujarat,Zalod,4589253,Ghat Faliyu Jharni Balwasa,3602540,60000,4316,0,0,55684,07-07-2024,08-07-2024
4469,Madhya Pradesh,Rewa,4571523,silpara,3595638,60000,4316,0,0,55684,01-07-2024,06-07-2024
4470,Rajasthan,Chauhtan,3955808,meg singh ki Dhani ghoniya,3594768,40000,3278,0,0,36722,01-07-2024,06-07-2024
4471,Haryana,Pundri,3259399,pai four,3595839,65000,4707,573,36583,23137,02-07-2024,06-07-2024
4472,Gujarat,Valsad,3292578,Dehvar faliya bhandarkachh,3596512,85000,5785,361,36160,42694,02-07-2024,06-07-2024
4473,Madhya Pradesh,THANDLA,4573765,kachnariya school faliya,3596889,60000,4316,0,0,55684,03-07-2024,06-07-2024
4474,Madhya Pradesh,Suwasara,2967307,Rojhani,3601286,85000,5785,415,27739,51061,04-07-2024,06-07-2024
4475,Madhya Pradesh,THANDLA,2426086,SCHOOL FALIYA KANIKARA,3601518,100000,6594,211,17465,75730,04-07-2024,06-07-2024
4476,Gujarat,Thasra,4584378,Sim Vistar Nesh AB,3600889,60000,4316,0,0,55684,04-07-2024,06-07-2024
4477,Gujarat,Nadiad,1880478,Jay maharaj Taunsip kenal upar Nadiad,3597778,65000,4707,39,2477,57777,02-07-2024,08-07-2024
4478,Rajasthan,Nagor,2107970,ratanga nagaur G,3596484,85000,5785,100,7831,71284,02-07-2024,08-07-2024
4479,Rajasthan,Degana,1140923,dugordasa B,3599796,100000,6594,501,30589,62316,03-07-2024,08-07-2024
4480,Gujarat,Fatepura,3319072,Bhabhor Faliyu Navagam SSS,3599144,85000,5785,561,35787,42867,03-07-2024,08-07-2024
4481,Gujarat,Gandhinagar,4581455,Thakor vas Rupal,3598739,50000,3797,0,0,46203,03-07-2024,08-07-2024
4482,Gujarat,Nadiad,3012566,Yogeshvar Mahadev Pachad,3601586,85000,5785,542,31681,46992,04-07-2024,09-07-2024
4483,Rajasthan,Singhana,2914314,badopur dpaaa,3599742,75000,5245,332,29153,40270,04-07-2024,09-07-2024
4484,Gujarat,Vyara,946820,panchpiplazaharanfaliyu,3601737,100000,6594,448,34944,58014,04-07-2024,08-07-2024
4485,Madhya Pradesh,AGAR MALWA,1225824,KRAPALPUR A,3603516,100000,3887,621,36323,59169,05-07-2024,08-07-2024
4486,Gujarat,Dhanpur,3328435,Chilakota Vada Faliyu Jk,3603070,85000,5785,536,35839,42840,05-07-2024,08-07-2024
4487,Gujarat,Dhanpur,3340537,Chilakota Vada Faliyu Jk,3603071,85000,5785,536,35839,42840,05-07-2024,08-07-2024
4488,Haryana,JHAJJAR,1147348,girawar,3603050,85000,5785,0,55968,23247,05-07-2024,09-07-2024
4489,Haryana,JHAJJAR,2662089,bhaboda babli,3603566,85000,5785,299,23286,55630,05-07-2024,08-07-2024
4490,Himachal Pradesh,Kangra,4421026,Pathiar Khas A,3599406,50000,3797,0,0,46203,05-07-2024,09-07-2024
4491,Gujarat,Kapadvanj,2574122,Hamirpur Ramdevji mandir,3601807,85000,5785,298,19929,58988,05-07-2024,08-07-2024
4492,Gujarat,Kapadvanj,3275490,Ambepura,3603232,85000,5785,474,36953,41788,05-07-2024,08-07-2024
4493,Gujarat,Limdi,4168868,Nana Padala Simaliya Faliyu PK,3598942,36000,3069,0,0,32931,05-07-2024,08-07-2024
4494,Gujarat,Lunawada,3121031,Pateliya Faliyu Aritha,3603025,85000,5785,445,31238,47532,05-07-2024,09-07-2024
4495,Rajasthan,Neem Ka Thana,1413982,dhani durgi mg nkt,3603548,100000,6594,517,30221,62668,05-07-2024,08-07-2024
4496,Rajasthan,Jhalawar,2144664,Dobri ss,3603605,100000,6594,0,9172,84234,05-07-2024,08-07-2024
4497,Rajasthan,Bharatpur,2370689,lodha basti chhichharwari ss,3600071,85000,5785,309,17342,61564,05-07-2024,08-07-2024
4498,Rajasthan,Chauhtan,1079407,gssssss,3603376,100000,6594,744,40154,52508,05-07-2024,08-07-2024
4499,Rajasthan,Taranagar,3996235,jor ji ka bas  A,3597994,60000,4316,0,0,55684,03-07-2024,09-07-2024
4500,Madhya Pradesh,AGAR MALWA,3063921,Rajiv gadhi colony agar,3603855,85000,5785,748,36213,42254,06-07-2024,08-07-2024
4501,Rajasthan,Bharatpur,3115938,Baben Bharatpur mm,3603505,85000,5785,20,28097,51098,06-07-2024,08-07-2024
4502,Rajasthan,Bhilwara,4561204,paldi zzz,3597788,60000,4316,0,0,55684,06-07-2024,08-07-2024
4503,Rajasthan,Bhilwara,4562275,paldi zzz,3597787,60000,4316,0,0,55684,06-07-2024,09-07-2024
4504,Rajasthan,Bhilwara,4577566,paldi zzz,3597786,60000,4316,0,0,55684,06-07-2024,09-07-2024
4505,Gujarat,Devgarhbaria,3084412,Kodhariya Baria faliyu,3603270,85000,5785,450,31571,47194,06-07-2024,08-07-2024
4506,Gujarat,Fatepura,3193769,Vandriya purv MJ,3604342,85000,5785,735,36846,41634,06-07-2024,08-07-2024
4507,Gujarat,Khambhat,3188660,Davashani mata faliyu nagra nj,3602982,85000,5785,470,36688,42057,06-07-2024,08-07-2024
4508,Rajasthan,Mahwa,4586212,Yogi mohlla,3602937,60000,4316,0,0,55684,06-07-2024,08-07-2024
4509,Gujarat,Nadiad,2379565,Abharipur Laxmipura Ab d,3603102,85000,5785,393,22992,55830,06-07-2024,09-07-2024
4510,Gujarat,Piplod,4590114,chopat palli ravat faliyu DC,3602868,50000,3797,0,0,46203,06-07-2024,09-07-2024
4511,Gujarat,Piplod,4590115,chopat palli ravat faliyu DC,3602867,50000,3797,0,0,46203,06-07-2024,08-07-2024
4512,Gujarat,Piplod,4590116,chopat palli ravat faliyu DC,3602866,50000,3797,0,0,46203,06-07-2024,08-07-2024
4513,Rajasthan,Rajsamand,1955365,gudla g s c king,3604293,100000,6594,0,2435,90971,06-07-2024,08-07-2024
4514,Rajasthan,Bilara,3324560,Dewali NR,3605490,85000,5785,583,35628,43004,07-07-2024,08-07-2024
4515,Jharkhand,Chatra,4591948,Madgada,3604703,45000,3537,0,0,41463,07-07-2024,08-07-2024
4516,Jharkhand,Chatra,4592020,Madgada,3604704,35000,3018,0,0,31982,07-07-2024,08-07-2024
4517,Jharkhand,Chatra,4593404,Madgada,3604705,45000,3537,0,0,41463,07-07-2024,08-07-2024
4518,Madhya Pradesh,Jaora,4578354,Ranigaon R,3604554,50000,3797,0,0,46203,07-07-2024,08-07-2024
4519,Uttarakhand,Jhabrera,3690922,rajkali basawa khedi six,3604882,50000,3797,0,0,46203,07-07-2024,08-07-2024
4520,Uttarakhand,Jhabrera,4577622,rajkali basawa khedi six,3604883,40000,1993,0,0,38007,07-07-2024,08-07-2024
4521,Uttarakhand,Jhabrera,4595022,rajkali basawa khedi six,3604884,50000,3797,0,0,46203,07-07-2024,08-07-2024
4522,Gujarat,Nadiad,1499888,KOT C,3604552,85000,5785,44,30903,48268,07-07-2024,08-07-2024
4523,Rajasthan,Parbatsar,3309744,Megwalo ka Mohlaa Sarthala,3599606,40000,3278,0,0,36722,07-07-2024,08-07-2024
4524,Rajasthan,Parbatsar,3310087,Megwalo ka Mohlaa Sarthala,3599607,50000,3797,0,0,46203,07-07-2024,08-07-2024
4525,Rajasthan,Parbatsar,4578024,Megwalo ka Mohlaa Sarthala,3599605,40000,3278,0,0,36722,07-07-2024,08-07-2024
4526,Jharkhand,Patan,4070723,Churadohar tola nuniya,3604594,40000,3278,0,0,36722,07-07-2024,08-07-2024
4527,Gujarat,Shamalaji,2454205,ode  pargi Falyu,3604796,65000,4707,13,17790,42490,07-07-2024,09-07-2024
4528,Gujarat,Sukhsar,2791812,Khatarpurana  Bhabor Faliyu   AB,3604624,75000,5245,357,26400,42998,07-07-2024,08-07-2024
4529,Rajasthan,Udaipurwati,3279652,gopi ki dhani,3604172,85000,5785,486,35946,42783,07-07-2024,08-07-2024
4530,Rajasthan,Nokha,3208494,kakra bbbb,3591245,85000,5785,0,30370,48845,07-07-2024,08-07-2024
4531,Rajasthan,Nokha,3288759,teliya nadi rod panchu,3605841,85000,5785,0,28071,51144,07-07-2024,08-07-2024
4532,Rajasthan,Nokha,3288714,teliya nadi rod panchu,3605842,85000,3394,0,33687,47919,07-07-2024,08-07-2024
4533,Rajasthan,Nokha,3288639,teliya nadi rod panchu,3605901,85000,5785,0,33687,45528,07-07-2024,08-07-2024
4534,Rajasthan,Nokha,3288695,teliya nadi rod panchu,3605902,85000,5785,0,33687,45528,07-07-2024,08-07-2024
4535,Haryana,CHARKHI DADRI,1080520,Sanga Hera,3604631,100000,6594,642,40938,51826,07-07-2024,08-07-2024
4536,Rajasthan,Chauhtan,4588640,meethe ka tala Vera,3604150,60000,4316,0,0,55684,07-07-2024,08-07-2024
4537,Rajasthan,Chauhtan,3614428,meethe ka tala Vera,3604151,60000,4316,0,0,55684,07-07-2024,08-07-2024
4538,Rajasthan,Chauhtan,4561364,meethe ka tala Vera,3604152,60000,4316,0,0,55684,07-07-2024,08-07-2024
4539,Rajasthan,Chauhtan,4588560,meethe ka tala Vera,3604153,60000,4316,0,0,55684,07-07-2024,08-07-2024
4540,Gujarat,Sukhsar,1786081,Motidhadheli Muniya Faliyu ll N,3603866,60000,4316,0,0,55684,07-07-2024,09-07-2024
4541,Odisha,Talcher,3926929,Katrapada A,3605056,50000,3797,0,0,46203,07-07-2024,08-07-2024
4542,Odisha,Talcher,4278688,Katrapada A,3605058,50000,3797,0,0,46203,07-07-2024,08-07-2024
4543,Odisha,Talcher,4595677,Katrapada A,3605059,36000,3069,0,0,32931,07-07-2024,08-07-2024
4544,Gujarat,Morbi,2341297,New Rohidashpara seri No Six,3597991,100000,6594,214,17711,75481,02-07-2024,08-07-2024
4545,Gujarat,Sukhsar,4351818,chadni faliyu ninadka Ssn,3599064,60000,4316,0,0,55684,03-07-2024,09-07-2024
4546,Gujarat,Sukhsar,4580399,chadni faliyu ninadka Ssn,3599065,60000,4316,0,0,55684,03-07-2024,09-07-2024
4547,Gujarat,Bhavnagar,2549490,khadasaliya,3598429,85000,5785,274,20224,58717,03-07-2024,08-07-2024
4548,Madhya Pradesh,AGAR MALWA,2204101,Piplonkhurd F,3606322,85000,5785,571,36422,42222,08-07-2024,08-07-2024
4549,Madhya Pradesh,AGAR MALWA,2824122,Dongargaw,3605833,85000,5785,425,25938,52852,08-07-2024,08-07-2024
4550,Madhya Pradesh,AGAR MALWA,2824320,Dongargaw,3605834,85000,5785,425,25938,52852,08-07-2024,08-07-2024
4551,Gujarat,Anand,1313871,DUNGARIPURA H,3606539,100000,6594,367,24543,68496,08-07-2024,08-07-2024
4552,Gujarat,Anand,2145295,Dungaripura Kyari Vistar S,3606580,100000,6594,183,12211,81012,08-07-2024,09-07-2024
4553,Odisha,Angul,4113427,Jarada A,3604232,50000,3797,0,0,46203,08-07-2024,08-07-2024
4554,Odisha,Angul,4585590,Nuakheta,3601111,50000,3797,0,0,46203,08-07-2024,08-07-2024
4555,Odisha,Angul,4585862,Nuakheta,3601114,40000,3278,0,0,36722,08-07-2024,09-07-2024
4556,Odisha,Angul,4591931,Nuakheta,3604076,40000,3278,0,0,36722,08-07-2024,08-07-2024
4557,Odisha,Angul,4593107,KHALARI NUAGAN,3605334,50000,3797,0,0,46203,08-07-2024,08-07-2024
4558,Odisha,Angul,4593156,KHALARI NUAGAN,3604794,40000,3278,0,0,36722,08-07-2024,08-07-2024
4559,Madhya Pradesh,Anuppur,4560173,Gorsi Hanuman Tiraha,3605564,35000,3018,0,0,31982,08-07-2024,08-07-2024
4560,Rajasthan,Asind,4588483,kanwlas,3605371,50000,3797,0,0,46203,08-07-2024,08-07-2024
4561,Rajasthan,Asind,4589305,kanwlas,3605372,50000,3797,0,0,46203,08-07-2024,08-07-2024
4562,Rajasthan,Asind,4596266,kanwlas,3605374,40000,3278,0,0,36722,08-07-2024,08-07-2024
4563,Madhya Pradesh,BADNAGAR,1083832,arjunakhedi,3603293,85000,5785,65,30622,48528,08-07-2024,08-07-2024
4564,Madhya Pradesh,BADNAGAR,1373847,sandla new petlawd,3604824,100000,6594,480,24055,68871,08-07-2024,08-07-2024
4565,Madhya Pradesh,BADNAGAR,3095528,Sandla New ABC,3604825,85000,5785,515,25848,52852,08-07-2024,08-07-2024
4566,Rajasthan,Bagidora,879175,BORWANIYA 1,3606447,75000,5245,18,24580,45157,08-07-2024,08-07-2024
4567,Jharkhand,Bagodar,4595174,khairagadha dumari,3605017,45000,3537,0,0,41463,08-07-2024,08-07-2024
4568,Jharkhand,Bagodar,4595448,khairagadha dumari,3605021,35000,3018,0,0,31982,08-07-2024,08-07-2024
4569,Jharkhand,Bagodar,4595743,khairagadha dumari,3605024,45000,3537,0,0,41463,08-07-2024,08-07-2024
4570,Odisha,Balakati,3952951,balbhadra pur,3605117,50000,3797,0,0,46203,08-07-2024,08-07-2024
4571,Odisha,Balakati,4590754,balbhadra pur,3605118,50000,2341,0,0,47659,08-07-2024,08-07-2024
4572,Odisha,Balakati,4593217,dulihabari,3605247,50000,3797,0,0,46203,08-07-2024,08-07-2024
4573,Odisha,Balakati,4595303,balbhadra pur,3605120,50000,3797,0,0,46203,08-07-2024,08-07-2024
4574,Odisha,Balakati,4595955,subudhipadaB,3605595,50000,3797,0,0,46203,08-07-2024,08-07-2024
4575,Odisha,Balakati,4596259,subudhipadaB,3605596,50000,3797,0,0,46203,08-07-2024,08-07-2024
4576,Rajasthan,Balotra,893763,Mahadev Bagundi,3606021,100000,6594,59,27582,65765,08-07-2024,08-07-2024
4577,Rajasthan,Balotra,1256753,ramdev mandir bhadiyawas,3606291,85000,5785,99,46298,32818,08-07-2024,08-07-2024
4578,Rajasthan,Balotra,1517945,kumpaliya gav,3605587,100000,6594,580,33939,58887,08-07-2024,08-07-2024
4579,Rajasthan,Balotra,1623289,sau ki dhani khattu R S,3606355,100000,6594,580,33939,58887,08-07-2024,08-07-2024
4580,Rajasthan,Balotra,1625444,khatu gav ke pass,3604422,100000,6594,527,30819,62060,08-07-2024,08-07-2024
4581,Rajasthan,Balotra,1660154,Newora bera patodi VG,3600911,85000,5785,59,41743,37413,08-07-2024,08-07-2024
4582,Rajasthan,Balotra,1828308,school ke pass Gol fanta,3604523,85000,5785,78,54795,24342,08-07-2024,08-07-2024
4583,Rajasthan,Balotra,2639084,Rao ka Wass jhund,3605707,85000,5785,419,22639,56157,08-07-2024,08-07-2024
4584,Rajasthan,Balotra,2646892,bhuraniyokidhanichilanadiOV,3606420,75000,5245,0,20066,49689,08-07-2024,08-07-2024
4585,Rajasthan,Balotra,4587828,Dhola bhata gaav HD,3603019,50000,2341,0,0,47659,08-07-2024,08-07-2024
4586,Rajasthan,Bansur,986320,BasBarisalAbc,3606518,100000,6594,54,25159,68193,08-07-2024,08-07-2024
4587,Rajasthan,Bansur,1353700,Nayakuva Rampur,3606175,60000,4316,0,0,55684,08-07-2024,08-07-2024
4588,Rajasthan,Bansur,2136288,Mahenpur gha,3606281,85000,5785,19,8776,70420,08-07-2024,08-07-2024
4589,Rajasthan,Bansur,4593688,Raghunathpura Tiba Rs,3604723,60000,4316,0,0,55684,08-07-2024,08-07-2024
4590,Rajasthan,Bansur,4598320,Nayakuva Rampur,3606176,60000,4316,0,0,55684,08-07-2024,08-07-2024
4591,Rajasthan,Bar,4565576,MALIPURA SOWANIYA AS,3605140,60000,4316,0,0,55684,08-07-2024,08-07-2024
4592,Rajasthan,Bar,4593925,RAJENDRA BS,3605142,60000,4316,0,0,55684,08-07-2024,08-07-2024
4593,Gujarat,Bardoli,1284754,kharvantekrifaliyu,3606542,100000,6594,542,31709,61155,08-07-2024,08-07-2024
4594,Gujarat,Bardoli,2074348,KODADA DESAI FALIYU,3606416,85000,5785,84,5106,74025,08-07-2024,08-07-2024
4595,Gujarat,Bardoli,3053180,bid tekrifaliyu,3606321,85000,5785,564,31681,46970,08-07-2024,08-07-2024
4596,Gujarat,Bardoli,3086166,Bhimpor jagadiyu faliyu,3606644,85000,5785,451,31681,47083,08-07-2024,08-07-2024
4597,Rajasthan,Barmer,2115160,Nehru nagar three,3605793,100000,6594,20,9236,84150,08-07-2024,08-07-2024
4598,Rajasthan,Barmer,2590003,pundon ki basti ap,3605484,85000,5785,29,20125,59061,08-07-2024,08-07-2024
4599,Rajasthan,Barmer,2828295,Somaniyo Ki dhani gehun Barmer jp,3605393,85000,5785,22,15106,64087,08-07-2024,08-07-2024
4600,Rajasthan,Barmer,2901313,Jhak Akhenathath Nadi,3601713,85000,5785,398,29379,49438,08-07-2024,08-07-2024
4601,Rajasthan,Barmer,2901695,Jhak Akhenathath Nadi,3601711,85000,5785,398,29379,49438,08-07-2024,08-07-2024
4602,Rajasthan,Barmer,3093678,Hathitala op to,3605680,85000,5785,17,23696,55502,08-07-2024,09-07-2024
4603,Rajasthan,Barmer,4552181,sarnu gaw pap ke samne,3604206,60000,4316,0,0,55684,08-07-2024,08-07-2024
4604,Rajasthan,Barmer,4585271,sarnu gaw pap ke samne,3604207,60000,4316,0,0,55684,08-07-2024,08-07-2024
4605,Rajasthan,Barmer,4585370,sarnu gaw pap ke samne,3604208,40000,3278,0,0,36722,08-07-2024,08-07-2024
4606,Rajasthan,Bassi,2887716,Malpura Jsr,3508767,85000,5785,0,17535,61680,08-07-2024,08-07-2024
4607,Rajasthan,Bassi,3113500,Chandrana Dausa,3605881,85000,5785,652,33885,44678,08-07-2024,08-07-2024
4608,Odisha,Basudevpur,4547983,Bhairabpur  A,3604865,50000,3797,0,0,46203,08-07-2024,08-07-2024
4609,Odisha,Basudevpur,4553332,Bhairabpur  A,3604866,50000,3797,0,0,46203,08-07-2024,08-07-2024
4610,Odisha,Basudevpur,4594533,Bhairabpur  A,3604867,50000,3797,0,0,46203,08-07-2024,09-07-2024
4611,Rajasthan,Bayana,1675654,VijayPura Gobra,3606385,85000,5785,621,33487,45107,08-07-2024,08-07-2024
4612,Rajasthan,Bayana,2226114,Baroda SA,3605839,85000,5785,11,7924,71280,08-07-2024,08-07-2024
4613,Rajasthan,Beawar,1384695,JALIYA FIRST SS,3605851,100000,6594,0,22407,70999,08-07-2024,08-07-2024
